Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,1995,10,539.0,1.0,143.0,0.0,683.0
Alameda Sheriff's Dept.,Santa Rita Jail,1995,10,1983.0,197.0,887.0,166.0,3233.0
Amador Sheriff's Dept.,Amador County Jail,1995,10,15.33,1.59,21.7,4.85,43.47
Butte Sheriff's Dept.,Butte County Jail,1995,10,225.0,39.0,158.0,15.0,437.0
Calaveras Sheriff's Dept.,Calaveras County Jail,1995,10,20.8,0.4,29.6,3.9,54.7
Colusa Sheriff's Dept.,Colusa County Jail,1995,10,26.0,1.0,31.0,1.0,59.0
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,1995,10,0.0,0.0,230.0,0.0,230.0
Contra Costa Sheriff's Dept.,Martinez Detention Facility,1995,10,647.0,0.0,0.0,0.0,647.0
Contra Costa Sheriff's Dept.,West County Detention Facility ,1995,10,597.0,0.0,0.0,0.0,597.0
Del Norte Sheriff's Dept.,Del Norte County Jail,1995,10,65.83,7.22,0.0,0.0,73.05
El Dorado Sheriff's Dept.,El Dorado County Jail,1995,10,56.0,13.0,112.0,12.0,193.0
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,1995,10,45.0,6.0,40.0,8.0,99.0
Fresno Sheriff's Dept.,Fresno County Main Jail,1995,10,632.0,155.0,100.0,72.0,959.0
Fresno Sheriff's Dept.,Fresno County Satellite Jail,1995,10,0.0,0.0,116.0,0.0,116.0
Fresno Sheriff's Dept.,Fresno North Annex Jail,1995,10,389.0,0.0,9.0,0.0,398.0
Fresno Sheriff's Dept.,Fresno South Annex Jail,1995,10,402.0,0.0,206.0,0.0,608.0
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,1995,10,43.0,4.0,32.0,5.0,84.0
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,1995,10,148.0,22.0,15.0,13.0,198.0
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,1995,10,155.0,0.0,217.0,0.0,372.0
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,1995,10,150.0,20.0,80.0,15.0,265.0
Inyo Sheriff's Dept.,Inyo County Jail,1995,10,19.1,4.7,26.0,0.8,50.6
Kern Sheriff's Dept.,Kern County- Female Minimum ,1995,10,0.0,0.0,0.0,95.0,95.0
Kern Sheriff's Dept.,Lerdo Maximum/Medium,1995,10,0.0,0.0,0.0,0.0,0.0
